product_id,part_id,part_name,price,stock,description,image_name
1,1,Small Air Compressor,965.61,16,"Small Air Compressor from AIR COMPRESSOR under the Engine Parts category, designed for optimal performance.",Small Air Compressor.jpg
1,2,High-Pressure Air Compressor,580.34,23,"High-Pressure Air Compressor from AIR COMPRESSOR under the Engine Parts category, designed for optimal performance.",High-Pressure Air Compressor.jpg
1,3,Portable Air Compressor,982.97,23,"Portable Air Compressor from AIR COMPRESSOR under the Engine Parts category, designed for optimal performance.",Portable Air Compressor.jpg
1,4,Electric Air Compressor,623.65,16,"Electric Air Compressor from AIR COMPRESSOR under the Engine Parts category, designed for optimal performance.",Electric Air Compressor.jpg
1,5,Oil-Lubricated Air Compressor,816.14,28,"Oil-Lubricated Air Compressor from AIR COMPRESSOR under the Engine Parts category, designed for optimal performance.",Oil-Lubricated Air Compressor.jpg
2,6,V6 Engine Block,647.36,25,"V6 Engine Block from ENGINE BLOCK under the Engine Parts category, designed for optimal performance.",V6 Engine Block.jpg
2,7,Inline-4 Engine Block,758.69,26,"Inline-4 Engine Block from ENGINE BLOCK under the Engine Parts category, designed for optimal performance.",Inline-4 Engine Block.jpg
2,8,Diesel Engine Block,605.71,20,"Diesel Engine Block from ENGINE BLOCK under the Engine Parts category, designed for optimal performance.",Diesel Engine Block.jpg
2,9,Aluminum Engine Block,914.46,30,"Aluminum Engine Block from ENGINE BLOCK under the Engine Parts category, designed for optimal performance.",Aluminum Engine Block.jpg
2,10,Cast Iron Engine Block,873.98,18,"Cast Iron Engine Block from ENGINE BLOCK under the Engine Parts category, designed for optimal performance.",Cast Iron Engine Block.jpg
3,11,Intake Valve,540.2,30,"Intake Valve from ENGINE VALVE under the Engine Parts category, designed for optimal performance.",Intake Valve.jpg
3,12,Exhaust Valve,594.56,23,"Exhaust Valve from ENGINE VALVE under the Engine Parts category, designed for optimal performance.",Exhaust Valve.jpg
3,13,Sodium Filled Valve,798.32,13,"Sodium Filled Valve from ENGINE VALVE under the Engine Parts category, designed for optimal performance.",Sodium Filled Valve.jpg
3,14,Titanium Valve,687.18,28,"Titanium Valve from ENGINE VALVE under the Engine Parts category, designed for optimal performance.",Titanium Valve.jpg
3,15,Multi-Groove Valve,528.82,13,"Multi-Groove Valve from ENGINE VALVE under the Engine Parts category, designed for optimal performance.",Multi-Groove Valve.jpg
4,16,Roller Camshaft,726.4,17,"Roller Camshaft from CAMSHAFT under the Engine Parts category, designed for optimal performance.",Roller Camshaft.jpg
4,17,Flat-Tappet Camshaft,841.02,12,"Flat-Tappet Camshaft from CAMSHAFT under the Engine Parts category, designed for optimal performance.",Flat-Tappet Camshaft.jpg
4,18,Hydraulic Camshaft,600.8,21,"Hydraulic Camshaft from CAMSHAFT under the Engine Parts category, designed for optimal performance.",Hydraulic Camshaft.jpg
4,19,Solid Lifter Camshaft,586.59,21,"Solid Lifter Camshaft from CAMSHAFT under the Engine Parts category, designed for optimal performance.",Solid Lifter Camshaft.jpg
4,20,High-Lift Camshaft,835.03,19,"High-Lift Camshaft from CAMSHAFT under the Engine Parts category, designed for optimal performance.",High-Lift Camshaft.jpg
5,21,Forged Piston,766.36,13,"Forged Piston from PISTON under the Engine Parts category, designed for optimal performance.",Forged Piston.jpg
5,22,Cast Piston,868.43,28,"Cast Piston from PISTON under the Engine Parts category, designed for optimal performance.",Cast Piston.jpg
