product_id,category_id,product_name,part_id,sub_part,price,stock,description,image_url,unique_product_id
1,1,AIR COMPRESSOR,1,Small Air Compressor,965.61,16,"Small Air Compressor from AIR COMPRESSOR under the Engine Parts category, designed for optimal performance.",,1_1
2,1,AIR COMPRESSOR,2,High-Pressure Air Compressor,580.34,23,"High-Pressure Air Compressor from AIR COMPRESSOR under the Engine Parts category, designed for optimal performance.",,1_2
3,1,AIR COMPRESSOR,3,Portable Air Compressor,982.97,23,"Portable Air Compressor from AIR COMPRESSOR under the Engine Parts category, designed for optimal performance.",,1_3
4,1,AIR COMPRESSOR,4,Electric Air Compressor,623.65,16,"Electric Air Compressor from AIR COMPRESSOR under the Engine Parts category, designed for optimal performance.",,1_4
5,1,AIR COMPRESSOR,5,Oil-Lubricated Air Compressor,816.14,28,"Oil-Lubricated Air Compressor from AIR COMPRESSOR under the Engine Parts category, designed for optimal performance.",,1_5
6,1,ENGINE BLOCK,6,V6 Engine Block,647.36,25,"V6 Engine Block from ENGINE BLOCK under the Engine Parts category, designed for optimal performance.",,2_1
7,1,ENGINE BLOCK,7,Inline-4 Engine Block,758.69,26,"Inline-4 Engine Block from ENGINE BLOCK under the Engine Parts category, designed for optimal performance.",,2_2
8,1,ENGINE BLOCK,8,Diesel Engine Block,605.71,20,"Diesel Engine Block from ENGINE BLOCK under the Engine Parts category, designed for optimal performance.",,2_3
9,1,ENGINE BLOCK,9,Aluminum Engine Block,914.46,30,"Aluminum Engine Block from ENGINE BLOCK under the Engine Parts category, designed for optimal performance.",,2_4
10,1,ENGINE BLOCK,10,Cast Iron Engine Block,873.98,18,"Cast Iron Engine Block from ENGINE BLOCK under the Engine Parts category, designed for optimal performance.",,2_5
11,1,ENGINE VALVE,11,Intake Valve,540.2,30,"Intake Valve from ENGINE VALVE under the Engine Parts category, designed for optimal performance.",,3_1
12,1,ENGINE VALVE,12,Exhaust Valve,594.56,23,"Exhaust Valve from ENGINE VALVE under the Engine Parts category, designed for optimal performance.",,3_2
13,1,ENGINE VALVE,13,Sodium Filled Valve,798.32,13,"Sodium Filled Valve from ENGINE VALVE under the Engine Parts category, designed for optimal performance.",,3_3
14,1,ENGINE VALVE,14,Titanium Valve,687.18,28,"Titanium Valve from ENGINE VALVE under the Engine Parts category, designed for optimal performance.",,3_4
15,1,ENGINE VALVE,15,Multi-Groove Valve,528.82,13,"Multi-Groove Valve from ENGINE VALVE under the Engine Parts category, designed for optimal performance.",,3_5
16,1,CAMSHAFT,16,Roller Camshaft,726.4,17,"Roller Camshaft from CAMSHAFT under the Engine Parts category, designed for optimal performance.",,4_1
17,1,CAMSHAFT,17,Flat-Tappet Camshaft,841.02,12,"Flat-Tappet Camshaft from CAMSHAFT under the Engine Parts category, designed for optimal performance.",,4_2
18,1,CAMSHAFT,18,Hydraulic Camshaft,600.8,21,"Hydraulic Camshaft from CAMSHAFT under the Engine Parts category, designed for optimal performance.",,4_3
19,1,CAMSHAFT,19,Solid Lifter Camshaft,586.59,21,"Solid Lifter Camshaft from CAMSHAFT under the Engine Parts category, designed for optimal performance.",,4_4
20,1,CAMSHAFT,20,High-Lift Camshaft,835.03,19,"High-Lift Camshaft from CAMSHAFT under the Engine Parts category, designed for optimal performance.",,4_5
21,1,PISTON,21,Forged Piston,766.36,13,"Forged Piston from PISTON under the Engine Parts category, designed for optimal performance.",,5_1
22,1,PISTON,22,Cast Piston,868.43,28,"Cast Piston from PISTON under the Engine Parts category, designed for optimal performance.",,5_2
23,1,PISTON,23,Hypereutectic Piston,509.24,11,"Hypereutectic Piston from PISTON under the Engine Parts category, designed for optimal performance.",,5_3
24,1,PISTON,24,Racing Piston,879.29,15,"Racing Piston from PISTON under the Engine Parts category, designed for optimal performance.",,5_4
25,1,PISTON,25,Low-Compression Piston,672.81,22,"Low-Compression Piston from PISTON under the Engine Parts category, designed for optimal performance.",,5_5
26,1,CARBURETOR,26,Two-Barrel Carburetor,983.69,20,"Two-Barrel Carburetor from CARBURETOR under the Engine Parts category, designed for optimal performance.",,6_1
27,1,CARBURETOR,27,Four-Barrel Carburetor,750.91,16,"Four-Barrel Carburetor from CARBURETOR under the Engine Parts category, designed for optimal performance.",,6_2
28,1,CARBURETOR,28,Performance Carburetor,616.32,16,"Performance Carburetor from CARBURETOR under the Engine Parts category, designed for optimal performance.",,6_3
29,1,CARBURETOR,29,Electric Carburetor,549.09,29,"Electric Carburetor from CARBURETOR under the Engine Parts category, designed for optimal performance.",,6_4
30,1,CARBURETOR,30,High-Efficiency Carburetor,698.49,24,"High-Efficiency Carburetor from CARBURETOR under the Engine Parts category, designed for optimal performance.",,6_5
31,1,CLUTCH PLATE,31,Single Clutch Plate,505.04,14,"Single Clutch Plate from CLUTCH PLATE under the Engine Parts category, designed for optimal performance.",,7_1
32,1,CLUTCH PLATE,32,Twin Disc Clutch Plate,815.12,20,"Twin Disc Clutch Plate from CLUTCH PLATE under the Engine Parts category, designed for optimal performance.",,7_2
33,1,CLUTCH PLATE,33,Racing Clutch Plate,979.61,15,"Racing Clutch Plate from CLUTCH PLATE under the Engine Parts category, designed for optimal performance.",,7_3
34,1,CLUTCH PLATE,34,Organic Clutch Plate,775.95,22,"Organic Clutch Plate from CLUTCH PLATE under the Engine Parts category, designed for optimal performance.",,7_4
35,1,CLUTCH PLATE,35,Ceramic Clutch Plate,579.87,18,"Ceramic Clutch Plate from CLUTCH PLATE under the Engine Parts category, designed for optimal performance.",,7_5
36,2,ALTERNATOR,36,High-Output Alternator,587.05,27,"High-Output Alternator from ALTERNATOR under the Electrical Parts category, designed for optimal performance.",,8_1
37,2,ALTERNATOR,37,Remanufactured Alternator,725.81,18,"Remanufactured Alternator from ALTERNATOR under the Electrical Parts category, designed for optimal performance.",,8_2
38,2,ALTERNATOR,38,One-Wire Alternator,674.9,13,"One-Wire Alternator from ALTERNATOR under the Electrical Parts category, designed for optimal performance.",,8_3
39,2,ALTERNATOR,39,Brushless Alternator,970.84,16,"Brushless Alternator from ALTERNATOR under the Electrical Parts category, designed for optimal performance.",,8_4
40,2,ALTERNATOR,40,Dual Alternator,710.77,13,"Dual Alternator from ALTERNATOR under the Electrical Parts category, designed for optimal performance.",,8_5
41,2,IGNITION COIL,41,High-Performance Ignition Coil,556.34,22,"High-Performance Ignition Coil from IGNITION COIL under the Electrical Parts category, designed for optimal performance.",,9_1
42,2,IGNITION COIL,42,Coil-on-Plug Ignition Coil,590.52,17,"Coil-on-Plug Ignition Coil from IGNITION COIL under the Electrical Parts category, designed for optimal performance.",,9_2
43,2,IGNITION COIL,43,Distributor-Type Ignition Coil,925.15,30,"Distributor-Type Ignition Coil from IGNITION COIL under the Electrical Parts category, designed for optimal performance.",,9_3
44,2,IGNITION COIL,44,Direct Ignition Coil,672.8,27,"Direct Ignition Coil from IGNITION COIL under the Electrical Parts category, designed for optimal performance.",,9_4
45,2,IGNITION COIL,45,Compact Ignition Coil,502.8,15,"Compact Ignition Coil from IGNITION COIL under the Electrical Parts category, designed for optimal performance.",,9_5
46,2,BATTERY,46,AGM Battery,909.51,27,"AGM Battery from BATTERY under the Electrical Parts category, designed for optimal performance.",,10_1
